"Gene Symbol","MGI Gene Id","Colony Id","Sex","Zygosity","Phenotype","Comment"
"Eaf1","MGI:1921677","H-EAF1-E07-TM1B","both","homozygote","Lethal"
"Ccl26","MGI:3589281","JR24349","both","homozygote","Viable"
"Srsf7","MGI:1926232","MFJE","both","homozygote","Lethal"
"Ewsr1","MGI:99960","TCPA0155Cre","both","homozygote","Lethal"
"Resp18","MGI:1098222","JR18572","both","homozygote","Viable"
"1700003F12Rik","MGI:1922730","UCD-10243A-E8-2-1","both","homozygote","Subviable"
"Nhlrc2","MGI:1914116","MGRQ","both","homozygote","Lethal"
"Whsc1l1","MGI:2142581","H-WHSC1L1-G02-TM1B","both","homozygote","Subviable"
"Idh2","MGI:96414","H-IDH2-G10-TM1B","both","homozygote","Viable"
"Cacna1b","MGI:88296","H-CACNA1B-A07-TM1B","both","homozygote","Viable"
"Uts2b","MGI:2677064","BL2351","both","homozygote","Viable"
"Dnmt3a","MGI:1261827","MFCH","both","homozygote","Viable","Conflicting Data"
"BC030499","MGI:2652869","JR24652","both","homozygote","Viable"
"Foxred2","MGI:106315","JR26917","both","homozygote","Viable"
"Btbd16","MGI:3045247","BTDDB","both","homozygote","Viable"
"Fam210b","MGI:1914267","BL1690","both","homozygote","Viable"
"Kcnab3","MGI:1336208","ET9329","both","homozygote","Viable"
"Dnajc9","MGI:1915326","JR22340","both","homozygote","Lethal"
"Daam1","MGI:1914596","H-DAAM1-C09-TM1B","both","homozygote","Lethal"
"Lta","MGI:104797","BL4318","both","homozygote","Viable"
"Dnase1l2","MGI:1913955","H-DNASE1L2-A10-TM1-1","both","homozygote","Viable"
"Ncald","MGI:1196326","JR18575","both","homozygote","Viable"
"Hfe2","MGI:1916835","JR24947","both","homozygote","Viable"
"Rab3gap2","MGI:1916043","JR24940","both","homozygote","Viable"
"Gtf2e2","MGI:1915403","H-GTF2E2-C01-TM1B","both","homozygote","Lethal"
"Nr1d1","MGI:2444210","Nr1d1 11705A-E7-1","both","homozygote","Viable","Conflicting Data"
"Fcer1g","MGI:95496","BL4074","both","homozygote","Subviable"
"Fosb","MGI:95575","BL4990","both","homozygote","Viable"
"Myh1","MGI:1339711","JR26598","both","homozygote","Viable"
